[2017.11.25 22:12:05] [0001m.19s.990ms] [0] WELCOME
[2017.11.25 22:12:05] [0001m.19s.991ms] [1] iCDB Client ver.1.093, 4eaDVz8EvVKuZCsHMzatSQ, build:488395 created 2012-01-27 13:24:08, sources stamp:4eaDVz8EvVKuZCsHMzatSQ
[2017.11.25 22:12:05] [0001m.19s.992ms] [1] Copyright 2012 Mentor Graphics Corporation. All Rights Reserved.
[2017.11.25 22:12:05] [0001m.19s.992ms] [1] Base flow version [7.9.3]
[2017.11.25 22:12:05] [0001m.19s.992ms] [1] GBS Install Id [24044], Flow Id [PADS 9.4.1], Full Flow Name [PADS 9.4.1], Exact Access Date [Nov 1 2011]
[2017.11.25 22:12:05] [0001m.19s.992ms] [1] Machine [DESKTOP-APFMU2M]  User [klutc]  PID [8792]
[2017.11.25 22:12:05] [0001m.19s.994ms] [1] Operating system [Microsoft Home Premium Edition, 64-bit (build 9200)]
[2017.11.25 22:12:05] [0001m.19s.994ms] [1] Current working dir [C:\EyeProject\Eye]
[2017.11.25 22:12:05] [0001m.19s.994ms] [1] PATH [C:\MentorGraphics\9.4PADS\SDD_HOME\wv\win32\bin;C:\Program Files\Docker\Docker\Resources\bin;C:\Program Files (x86)\NVIDIA Corporation\PhysX\Common;C:\ProgramData\Oracle\Java\javapath;C:\MentorGraphics\9.4PADS\SDD_HOME\common\win32\bin;C:\MentorGraphics\9.4PADS\SDD_HOME\common\win32\lib;C:\MentorGraphics\9.4PADS\MGC_HOME.ixn\bin;C:\MentorGraphics\9.4PADS\MGC_HOME.ixn\lib;C:\WINDOWS\system32;C:\WINDOWS;C:\WINDOWS\System32\Wbem;C:\WINDOWS\System32\WindowsPowerShell\v1.0\;C:\Program Files (x86)\Skype\Phone\;C:\Program Files\Git\cmd;C:\Program Files (x86)\Mercurial;C:\Program Files\Cinterion\Module Exchange Suite\;C:\Program Files (x86)\Java\jdk1.7.0_25\bin;c:\Program Files (x86)\Microsoft SQL Server\110\Tools\Binn\;c:\Program Files\Microsoft SQL Server\110\Tools\Binn\;c:\Program Files\Microsoft SQL Server\110\DTS\Binn\;C:\Program Files (x86)\Windows Kits\8.1\Windows Performance Toolkit\;C:\Users\klutc\AppData\Local\Programs\Python\Python36-32\Scripts\;C:\Users\klutc\AppData\Local\Programs\Python\Python36-32\;C:\Program Files (x86)\GNU Tools ARM Embedded\6 2017-q2-update\bin;C:\Users\klutc\AppData\Local\Microsoft\WindowsApps;C:\MentorGraphics\9.4PADS\SDD_HOME\common\win32\lib;C:\MentorGraphics\9.4PADS\SDD_HOME\CAMCAD;C:\Program Files (x86)\proXPN\bin;C:\Users\klutc\AppData\Local\atom\bin;%USERPROFILE%\AppData\Local\Microsoft\WindowsApps;]
[2017.11.25 22:12:05] [0001m.19s.995ms] [1] SDD_HOME [C:\MentorGraphics\9.4PADS\SDD_HOME] on file system [NTFS]
[2017.11.25 22:12:05] [0001m.19s.995ms] [1] SDD_PLATFORM [win32]
[2017.11.25 22:12:05] [0001m.19s.995ms] [1] WDIR [C:\PADS Projects;C:\MentorGraphics\9.4PADS\SDD_HOME\standard]
[2017.11.25 22:12:05] [0001m.19s.995ms] [1] Local iCDB working dir [C:\PADS Projects\iCDB] on file system [NTFS]
[2017.11.25 22:12:05] [0001m.19s.995ms] [3] AMP: CREATE
[2017.11.25 22:12:05] [0001m.19s.995ms] [2] NE: CREATE
[2017.11.25 22:12:05] [0001m.19s.995ms] [1] IC: Project GUID [06ab-0492-8525-d619-24dc-61a7-4dc6-1a50-37c2-604e-fc25-676e]
[2017.11.25 22:12:05] [0001m.19s.996ms] [1] IC: Project path [C:\EyeProject\Eye\database] on file system [NTFS]
[2017.11.25 22:12:05] [0001m.19s.996ms] [1] IC: Working in FULL access mode
[2017.11.25 22:12:05] [0001m.19s.997ms] [2] AMP: START
[2017.11.25 22:12:05] [0001m.20s.070ms] [1] ServerProperties: Reading server properties for project [C:\EyeProject\Eye\database]
[2017.11.25 22:12:05] [0001m.20s.070ms] [0] ServerProperties: Host [DESKTOP-APFMU2M]  IP [172.16.16.69,192.168.1.16,192.168.217.1,192.168.226.1,DESKTOP-APFMU2M]  Port [10000]  GUID [9312-45fa-78cc-6a6b-5b29-91aa-b299-1a50-2e77-e6b4-1098-4a71]  for project [C:\EyeProject\Eye\database] with GUID [06ab-0492-8525-d619-24dc-61a7-4dc6-1a50-37c2-604e-fc25-676e]
[2017.11.25 22:12:05] [0001m.20s.070ms] [1] Network: DNS query IP [172.16.16.69]
[2017.11.25 22:12:26] [0001m.41s.077ms] [1] Network: WARNING: Connection FAILED to IP [172.16.16.69] Port [10000]
[2017.11.25 22:12:26] [0001m.41s.077ms] [1] Network: DNS query IP [192.168.1.16]
[2017.11.25 22:12:26] [0001m.41s.078ms] [1] Connecting to iCDB Server:  Host [DESKTOP-APFMU2M] IP [192.168.1.16,192.168.217.1,192.168.226.1,DESKTOP-APFMU2M]  Port [10000]
[2017.11.25 22:12:26] [0001m.41s.079ms] [1] Network: DNS query IP [192.168.1.16]
[2017.11.25 22:12:26] [0001m.41s.079ms] [1] Connected to iCDB Server [192.168.1.16]
[2017.11.25 22:12:26] [0001m.41s.081ms] [1] Session [12877] opened
[2017.11.25 22:12:26] [0001m.41s.081ms] [1] Working mode: Online
[2017.11.25 22:12:26] [0001m.41s.085ms] [1] C: Registered sub-client: [DxD] with ID: [1]
[2017.11.25 22:12:26] [0001m.41s.090ms] [1] INFO: Exclusive read locks disabled
[2017.11.25 22:12:26] [0001m.41s.439ms] [1] C: Registered sub-client: [TransactionRollbackSubClient] with ID: [2]
[2017.11.25 22:12:26] [0001m.41s.440ms] [1] C: Registered sub-client: [xprob] with ID: [3]
[2017.11.25 22:12:28] [0001m.43s.167ms] [1] C: Registered sub-client: [SelectionHolder] with ID: [4]
[2017.11.25 22:12:28] [0001m.43s.921ms] [1] C: Registered sub-client: [HdlProject] with ID: [5]
[2017.11.25 22:12:29] [0001m.44s.116ms] [1] C: Registered sub-client: [Navigator] with ID: [6]
[2017.11.25 22:12:29] [0001m.44s.311ms] [1] C: Registered sub-client: [OutputWindow] with ID: [7]
[2017.11.25 22:12:29] [0001m.44s.311ms] [1] C: Registered sub-client: [PlaceDevice] with ID: [8]
[2017.11.25 22:12:29] [0001m.44s.349ms] [1] C: Registered sub-client: [SAE] with ID: [9]
[2017.11.25 22:12:29] [0001m.44s.365ms] [1] C: Registered sub-client: [DxConstraints] with ID: [10]
[2017.11.25 22:12:29] [0001m.44s.366ms] [1] C: Registered sub-client: [CCZAddin] with ID: [11]
[2017.11.25 22:12:29] [0001m.44s.367ms] [1] C: Registered sub-client: [DxThumbnails] with ID: [12]
[2017.11.25 22:12:29] [0001m.44s.369ms] [1] C: Registered sub-client: [DxSim] with ID: [13]
[2017.11.25 22:12:30] [0001m.45s.086ms] [1] C: Registered sub-client: [SheetConnectorsCacheDxD:1511665950] with ID: [14]
[2017.11.25 22:12:30] [0001m.45s.262ms] [1] C: Registered sub-client: [NetsNamesCollectorDxD:1511665950] with ID: [15]
[2017.11.25 22:12:30] [0001m.45s.276ms] [1] C: Registered sub-client: [DxDbSearch] with ID: [16]
[2017.11.25 22:12:30] [0001m.45s.284ms] [1] C: Registered sub-client: [LDD_ECO_IMPORT] with ID: [17]
[2017.11.25 22:12:30] [0001m.45s.286ms] [1] C: Unregistered sub-client: [LDD_ECO_IMPORT] with ID: [17]
[2017.11.25 22:12:30] [0001m.45s.604ms] [1] C: Registered sub-client: [LDD_ECO_IMPORT] with ID: [18]
[2017.11.25 22:12:30] [0001m.45s.607ms] [1] C: Unregistered sub-client: [LDD_ECO_IMPORT] with ID: [18]
[2017.11.25 22:12:31] [0001m.46s.605ms] [1] C: Registered sub-client: [LDD_ECO_IMPORT] with ID: [19]
[2017.11.25 22:12:31] [0001m.46s.610ms] [1] C: Unregistered sub-client: [LDD_ECO_IMPORT] with ID: [19]
[2017.11.25 22:12:32] [0001m.47s.605ms] [1] C: Registered sub-client: [LDD_ECO_IMPORT] with ID: [20]
[2017.11.25 22:12:32] [0001m.47s.609ms] [1] C: Unregistered sub-client: [LDD_ECO_IMPORT] with ID: [20]
[2017.11.25 22:12:33] [0001m.48s.609ms] [1] C: Registered sub-client: [LDD_ECO_IMPORT] with ID: [21]
[2017.11.25 22:12:33] [0001m.48s.613ms] [1] C: Unregistered sub-client: [LDD_ECO_IMPORT] with ID: [21]
[2017.11.25 22:12:34] [0001m.49s.608ms] [1] C: Registered sub-client: [LDD_ECO_IMPORT] with ID: [22]
[2017.11.25 22:12:34] [0001m.49s.611ms] [1] C: Unregistered sub-client: [LDD_ECO_IMPORT] with ID: [22]
[2017.11.25 22:12:35] [0001m.50s.611ms] [1] C: Registered sub-client: [LDD_ECO_IMPORT] with ID: [23]
[2017.11.25 22:12:35] [0001m.50s.617ms] [1] C: Unregistered sub-client: [LDD_ECO_IMPORT] with ID: [23]
[2017.11.25 22:12:36] [0001m.51s.606ms] [1] C: Registered sub-client: [LDD_ECO_IMPORT] with ID: [24]
[2017.11.25 22:12:36] [0001m.51s.611ms] [1] C: Unregistered sub-client: [LDD_ECO_IMPORT] with ID: [24]
