RefDes     X          Y          Rot.       Exact     (FREE)    Side
C1         3825.0000  3225.0000  180        EXACT     (FREE)    Top                           
C2         1010.0000  2145.0000  270        EXACT     (FREE)    Top                           
C3         5025.0000  695.0000   000        EXACT     (FREE)    Top                           
C4         780.0000   2160.0000  000        EXACT     (FREE)    Top                           
C5         4645.0000  2780.0000  000        EXACT     (FREE)    Top                           
C6         780.0000   2630.0000  000        EXACT     (FREE)    Top                           
C7         3705.0000  1060.0000  180        EXACT     (FREE)    Top                           
C8         2385.0000  1060.0000  180        EXACT     (FREE)    Top                           
C9         2112.1093  3050.3411  090        EXACT     (FREE)    Top                           
C10        2112.1093  2825.9319  270        EXACT     (FREE)    Top                           
C11        4325.0000  3225.0000  180        EXACT     (FREE)    Top                           
C12        4250.0000  2525.0000  000        EXACT     (FREE)    Top                           
C13        2495.0649  3372.9598  000        EXACT     (FREE)    Top                           
C14        4075.0000  3225.0000  180        EXACT     (FREE)    Top                           
C15        4325.0000  3100.0000  180        EXACT     (FREE)    Top                           
C16        3140.0000  1475.0000  090        EXACT     (FREE)    Top                           
C17        4735.0000  1610.0000  180        EXACT     (FREE)    Top                           
C18        3625.0000  1475.0000  270        EXACT     (FREE)    Top                           
D1         3415.0000  925.0000   090        EXACT     (FREE)    Top                           
D2         4705.0000  925.0000   090        EXACT     (FREE)    Top                           
D3         3575.0000  3200.0000  270        EXACT     (FREE)    Top                           
D4         3350.0000  3150.0000  000        EXACT     (FREE)    Top                           
D5         250.0000   575.0000   270        EXACT     (FREE)    Top                           
F1         1205.0000  2185.0000  090        EXACT     (FREE)    Top                           
J1         3930.0000  4275.0000  180        EXACT     (FREE)    Top                           
J2         1410.0000  4275.0000  180        EXACT     (FREE)    Top                           
J3         2250.0000  4275.0000  180        EXACT     (FREE)    Top                           
J4         3090.0000  4275.0000  180        EXACT     (FREE)    Top                           
J5         5000.0000  2725.0000  090        EXACT     (FREE)    Top                           
J6         5000.0000  2310.0000  090        EXACT     (FREE)    Top                           
J7         2238.4757  3327.0398  270        EXACT     (FREE)    Top                           
J8         415.0000   2210.0000  270        EXACT     (FREE)    Top                           
J9         410.9849   2582.5527  270        EXACT     (FREE)    Top                           
J10        407.3902   3605.2447  270        EXACT     (FREE)    Top                           
J11        407.6493   3970.5538  270        EXACT     (FREE)    Top                           
J12        5000.0000  3100.0000  090        EXACT     (FREE)    Top                           
J13        2600.0000  300.0000   000        EXACT     (FREE)    Top                           
J14        1150.0000  3100.0000  090        EXACT     (FREE)    Top                           
J15        432.6044   2940.0184  270        EXACT     (FREE)    Top                           
J16        431.5372   3253.4233  270        EXACT     (FREE)    Top                           
J17        500.0000   1050.0000  270        EXACT     (FREE)    Top                           
J18        500.0000   1450.0000  270        EXACT     (FREE)    Top                           
LED1       4325.0000  3850.0000  000        EXACT     (FREE)    Top                           
LED2       4645.0000  3850.0000  000        EXACT     (FREE)    Top                           
LED3       4325.0000  4200.0000  000        EXACT     (FREE)    Top                           
LED4       4650.0000  4375.0000  000        EXACT     (FREE)    Top                           
LED5       4325.0000  4375.0000  000        EXACT     (FREE)    Top                           
LED6       4325.0000  4025.0000  000        EXACT     (FREE)    Top                           
LED7       4650.0000  4025.0000  000        EXACT     (FREE)    Top                           
LED8       4650.0000  4200.0000  000        EXACT     (FREE)    Top                           
LED9       4980.0000  4020.0000  000        EXACT     (FREE)    Top                           
LED10      4650.0000  1730.0000  000        EXACT     (FREE)    Top                           
Q1         4075.0000  3865.0000  270        EXACT     (FREE)    Top                           
Q2         4075.0000  4010.0000  270        EXACT     (FREE)    Top                           
Q3         2660.0000  2400.0000  000        EXACT     (FREE)    Top                           
Q4         4025.0000  2650.0000  000        EXACT     (FREE)    Top                           
Q5         5100.4790  1554.1591  090        EXACT     (FREE)    Top                           
R1         4330.0000  3735.0000  000        EXACT     (FREE)    Top                           
