RefDes     X          Y          Rot.       Exact     (FREE)    Side
U4         4029.0000  1522.0000  000        EXACT     (FREE)    Top                           
U5         9470.0000  5518.0000  000        EXACT     (FREE)    Top                           
U6         5287.0000  2596.0000  000        EXACT     (FREE)    Top                           
U7         9865.0000  5865.0000  000        EXACT     (FREE)    Top                           
U8         9864.0000  139.0000   000        EXACT     (FREE)    Top                           
U9         3330.0000  4240.0000  000        EXACT     (FREE)    Top                           
U11        144.0000   133.0000   000        EXACT     (FREE)    Top                           
U12        142.0000   5859.0000  000        EXACT     (FREE)    Top                           
U24        7800.0000  4735.0000  000        EXACT     (FREE)    Top                           
U28        7794.0000  5460.0000  000        EXACT     (FREE)    Top                           
U29        7663.0000  4736.0000  000        EXACT     (FREE)    Top                           
U30        7659.0000  5082.0000  000        EXACT     (FREE)    Top                           
U31        8488.0000  5460.0000  000        EXACT     (FREE)    Top                           
U32        7796.0000  4910.0000  000        EXACT     (FREE)    Top                           
U33        7793.0000  5309.0000  000        EXACT     (FREE)    Top                           
U34        8171.0000  420.0000   000        EXACT     (FREE)    Top                           
U35        7659.0000  5309.0000  000        EXACT     (FREE)    Top                           
U36        7659.0000  5460.0000  000        EXACT     (FREE)    Top                           
U37        8038.0000  421.0000   000        EXACT     (FREE)    Top                           
U38        7802.0000  5083.0000  000        EXACT     (FREE)    Top                           
U39        8158.0000  5459.0000  000        EXACT     (FREE)    Top                           
U40        7659.0000  4913.0000  000        EXACT     (FREE)    Top                           
U41        7418.0000  5460.0000  000        EXACT     (FREE)    Top                           
U42        7155.0000  5459.0000  000        EXACT     (FREE)    Top                           
USB1       60.0000    2320.0000  270        EXACT     (FREE)    Top                           
Z1         8420.0000  3220.0000  180        EXACT     (FREE)    Top                           
