RefDes     X          Y          Rot.       Exact     (FREE)    Side
ANT1       419.2900   -68.9000   270        EXACT     (FREE)    Bottom                        
ANT2       971.3189   2684.0000  000        EXACT     (FREE)    Bottom                        
C1         1791.4630  -40.0710   270        EXACT     (FREE)    Top                           
C2         1965.5229  236.4798   180        EXACT     (FREE)    Top                           
C3         1801.5400  469.2200   270        EXACT     (FREE)    Bottom                        
C4         488.9629   -206.2496  090        EXACT     (FREE)    Bottom                        
C5         542.8254   04.3538    180        EXACT     (FREE)    Bottom                        
C6         1374.1577  2120.2125  090        EXACT     (FREE)    Bottom                        
C7         -129.3846  2276.6723  000        EXACT     (FREE)    Top                           
C8         1784.2246  322.2728   180        EXACT     (FREE)    Top                           
C9         134.8103   1926.0333  090        EXACT     (FREE)    Top                           
C10        317.8485   1915.1331  090        EXACT     (FREE)    Top                           
C11        489.8541   1965.5548  000        EXACT     (FREE)    Top                           
C12        606.0745   2358.4744  180        EXACT     (FREE)    Top                           
C13        2021.8500  469.7800   090        EXACT     (FREE)    Bottom                        
C14        1829.0700  468.9900   090        EXACT     (FREE)    Bottom                        
C15        1796.0000  1372.0000  180        EXACT     (FREE)    Top                           
C16        1831.0900  2047.0700  180        EXACT     (FREE)    Top                           
C17        1831.0000  2015.2700  180        EXACT     (FREE)    Top                           
C18        1740.5000  1372.0000  000        EXACT     (FREE)    Top                           
C19        1786.6200  2024.9900  270        EXACT     (FREE)    Top                           
C20        1884.0200  630.3200   000        EXACT     (FREE)    Bottom                        
C21        1362.0000  08.0000    180        EXACT     (FREE)    Top                           
C22        1508.3800  90.8200    000        EXACT     (FREE)    Top                           
C23        1477.6000  186.6300   090        EXACT     (FREE)    Top                           
C24        1267.7600  24.2900    000        EXACT     (FREE)    Top                           
C25        1234.3800  156.0100   000        EXACT     (FREE)    Bottom                        
C26        1200.6900  117.3400   000        EXACT     (FREE)    Bottom                        
C27        1047.1800  209.0500   270        EXACT     (FREE)    Top                           
C28        1047.4800  163.6500   090        EXACT     (FREE)    Top                           
C29        1212.2803  -18.0785   180        EXACT     (FREE)    Top                           
C30        1594.0000  -167.0000  180        EXACT     (FREE)    Top                           
C31        1240.3455  881.2736   000        EXACT     (FREE)    Top                           
C32        1440.6400  1054.7600  270        EXACT     (FREE)    Top                           
C33        1440.6300  1096.1300  090        EXACT     (FREE)    Top                           
C34        1430.0000  1194.0000  090        EXACT     (FREE)    Top                           
C35        1589.1900  841.0100   270        EXACT     (FREE)    Top                           
C36        1558.5700  932.8800   180        EXACT     (FREE)    Top                           
C37        1728.2700  1014.4600  270        EXACT     (FREE)    Top                           
C38        1474.3800  969.9700   180        EXACT     (FREE)    Top                           
C39        1643.0337  840.7949   270        EXACT     (FREE)    Top                           
C40        877.0500   75.7500    270        EXACT     (FREE)    Bottom                        
C41        1809.0000  1660.0000  000        EXACT     (FREE)    Bottom                        
C42        573.5400   -11.1700   000        EXACT     (FREE)    Top                           
C43        660.8400   -138.7600  180        EXACT     (FREE)    Top                           
C44        677.0500   -73.4600   270        EXACT     (FREE)    Top                           
C45        101.1612   214.6157   180        EXACT     (FREE)    Top                           
C46        1964.8116  179.7620   180        EXACT     (FREE)    Top                           
C47        -75.5977   -27.4739   090        EXACT     (FREE)    Bottom                        
C48        284.7471   -177.5826  090        EXACT     (FREE)    Bottom                        
C49        226.4344   -59.7434   090        EXACT     (FREE)    Bottom                        
C50        105.9445   187.3257   180        EXACT     (FREE)    Bottom                        
C51        106.1208   155.9838   180        EXACT     (FREE)    Bottom                        
C52        404.1124   229.2293   270        EXACT     (FREE)    Bottom                        
C53        156.2376   -55.2019   180        EXACT     (FREE)    Bottom                        
C54        135.4628   213.2217   180        EXACT     (FREE)    Bottom                        
C55        794.1300   2311.4300  270        EXACT     (FREE)    Bottom                        
C56        705.3600   2310.9400  270        EXACT     (FREE)    Bottom                        
C57        852.8200   2291.3600  270        EXACT     (FREE)    Bottom                        
C58        646.5900   2290.4700  270        EXACT     (FREE)    Bottom                        
C59        402.8100   2423.5600  090        EXACT     (FREE)    Bottom                        
C60        1474.6000  2433.0000  090        EXACT     (FREE)    Bottom                        
C61        1083.0000  2535.6600  180        EXACT     (FREE)    Bottom                        
C64        1399.0000  2612.0000  090        EXACT     (FREE)    Bottom                        
C65        1423.3000  2433.0000  090        EXACT     (FREE)    Bottom                        
C66        1474.0000  2690.0000  180        EXACT     (FREE)    Bottom                        
C69        06.2300    745.8600   270        EXACT     (FREE)    Bottom                        
C70        06.2600    701.8400   090        EXACT     (FREE)    Bottom                        
C71        136.0200   1419.1000  090        EXACT     (FREE)    Bottom                        
C72        159.8100   1419.1000  090        EXACT     (FREE)    Bottom                        
C73        148.4900   596.9300   000        EXACT     (FREE)    Bottom                        
C74        148.7800   712.3800   000        EXACT     (FREE)    Bottom                        
C75        -01.1200   1395.5700  180        EXACT     (FREE)    Bottom                        
C76        -01.1600   1280.9300  180        EXACT     (FREE)    Bottom                        
C77        21.5717    198.3558   270        EXACT     (FREE)    Bottom                        
C78        -38.7057   -153.0799  180        EXACT     (FREE)    Bottom                        
C79        1786.0000  1774.0000  000        EXACT     (FREE)    Bottom                        
C80        729.0636   99.3190    090        EXACT     (FREE)    Bottom                        
C81        169.4540   -178.0534  090        EXACT     (FREE)    Bottom                        
C82        187.4016   395.0622   270        EXACT     (FREE)    Bottom                        
C83        134.1326   394.9723   270        EXACT     (FREE)    Bottom                        
C84        1847.9763  2127.3953  090        EXACT     (FREE)    Bottom                        
D1         -54.3116   2093.8365  180        EXACT     (FREE)    Top                           
D2         1338.9800  1620.0000  270        EXACT     (FREE)    Bottom                        
D3         1398.0000  1620.0000  270        EXACT     (FREE)    Bottom                        
D4         357.9540   581.4173   000        EXACT     (FREE)    Bottom                        
D5         357.9520   519.3259   000        EXACT     (FREE)    Bottom                        
J1         1968.4000  1691.0200  090        EXACT     (FREE)    Top                           
J2         939.9598   -324.8031  000        EXACT     (FREE)    Bottom                        
J3         1998.7300  760.6700   270        EXACT     (FREE)    Top                           
J4         1305.7000  504.8100   090        EXACT     (FREE)    Top                           
J5         1999.1300  541.5200   090        EXACT     (FREE)    Top                           
J6         1693.8976  -232.2835  000        EXACT     (FREE)    Bottom                        
L1         227.2429   -178.1260  090        EXACT     (FREE)    Bottom                        
L4         403.0600   2545.1600  090        EXACT     (FREE)    Bottom                        
L5         977.9100   2535.5300  180        EXACT     (FREE)    Bottom                        
L6         1161.0000  2510.6200  090        EXACT     (FREE)    Bottom                        
L7         1239.0000  2535.6600  000        EXACT     (FREE)    Bottom                        
LED1       939.9600   1775.5900  000        EXACT     (FREE)    Top                           
M1         1946.8182  -126.5428  000        EXACT     (FREE)    Top                           
M2         -109.8795  1820.0366  000        EXACT     (FREE)    Top                           
M3         1939.1300  2588.9000  000        EXACT     (FREE)    Top                           
Q1         484.8041   1635.8533  270        EXACT     (FREE)    Top                           
Q2         -101.9100  2152.1400  000        EXACT     (FREE)    Top                           
Q3         499.8217   1748.5168  270        EXACT     (FREE)    Top                           
Q4         402.5555   2212.1351  180        EXACT     (FREE)    Top                           
