RefDes     X          Y          Rot.       Exact     (FREE)    Side
ANT1       1591.5000  2580.6000  000        EXACT     (FREE)    Top                           
ANT2       409.0000   2355.0000  090        EXACT     (FREE)    Top                           
BAT1       1670.0000  1350.0000  000        EXACT     (FREE)    Bottom                        
C1         1670.4000  277.4000   000        EXACT     (FREE)    Top                           
C2         163.8000   1299.0000  000        EXACT     (FREE)    Top                           
C3         2150.7000  213.0000   270        EXACT     (FREE)    Top                           
C4         341.0000   1612.0000  180        EXACT     (FREE)    Top                           
C5         341.0000   2074.0000  180        EXACT     (FREE)    Top                           
C6         544.0000   2134.0000  090        EXACT     (FREE)    Top                           
C7         662.0000   2134.0000  090        EXACT     (FREE)    Top                           
C8         3066.8000  1698.3000  045        EXACT     (FREE)    Top                           
C9         2977.8000  1787.3000  045        EXACT     (FREE)    Top                           
C10        1121.0000  201.0000   180        EXACT     (FREE)    Top                           
C11        926.6000   201.0000   000        EXACT     (FREE)    Top                           
C12        556.0000   1877.0000  270        EXACT     (FREE)    Top                           
C13        700.0000   1877.0000  270        EXACT     (FREE)    Top                           
C14        163.7000   1374.7000  000        EXACT     (FREE)    Top                           
D1         1387.0000  275.0000   045        EXACT     (FREE)    Top                           
FB1        937.1000   1957.3000  225        EXACT     (FREE)    Top                           
J1         2827.0000  779.0000   180        EXACT     (FREE)    Top                           
J2         2976.0000  2062.3000  180        EXACT     (FREE)    Top                           
LED1       1670.0000  1870.0000  000        EXACT     (FREE)    Top                           
Q1         2054.7000  1943.5000  270        EXACT     (FREE)    Top                           
Q2         349.5000   1396.3000  270        EXACT     (FREE)    Top                           
Q3         302.9000   1154.1000  090        EXACT     (FREE)    Top                           
Q4         384.0000   936.1000   270        EXACT     (FREE)    Top                           
Q5         2302.5000  1813.0000  090        EXACT     (FREE)    Top                           
Q6         2220.0000  1003.4000  090        EXACT     (FREE)    Top                           
Q7         1899.7000  886.4000   090        EXACT     (FREE)    Top                           
Q8         788.5000   2064.8000  000        EXACT     (FREE)    Top                           
R1         1936.4000  1943.5000  000        EXACT     (FREE)    Top                           
R2         2233.2000  1955.7000  270        EXACT     (FREE)    Top                           
R3         2155.8000  1956.2000  090        EXACT     (FREE)    Top                           
R4         1435.2000  458.9000   315        EXACT     (FREE)    Top                           
R5         1704.2000  660.3000   270        EXACT     (FREE)    Top                           
R6         1757.5000  660.3000   270        EXACT     (FREE)    Top                           
R7         1650.0000  660.3000   090        EXACT     (FREE)    Top                           
R8         164.5000   1157.0000  180        EXACT     (FREE)    Top                           
R9         164.9000   1218.2000  180        EXACT     (FREE)    Top                           
R10        164.5000   1093.8000  180        EXACT     (FREE)    Top                           
R11        375.1000   1033.6000  000        EXACT     (FREE)    Top                           
R12        2926.8000  1033.8000  270        EXACT     (FREE)    Top                           
R13        2437.1000  1854.1000  000        EXACT     (FREE)    Top                           
R14        2436.6000  1775.2000  180        EXACT     (FREE)    Top                           
R15        2306.8000  1717.0000  180        EXACT     (FREE)    Top                           
R16        2164.2000  419.7000   315        EXACT     (FREE)    Top                           
R17        2105.6000  361.1000   315        EXACT     (FREE)    Top                           
R18        1950.0000  275.0000   315        EXACT     (FREE)    Top                           
R19        2293.1000  548.3000   135        EXACT     (FREE)    Top                           
R20        2237.4000  493.0000   135        EXACT     (FREE)    Top                           
R21        2158.4000  1259.2000  270        EXACT     (FREE)    Top                           
R22        2101.6000  1259.2000  270        EXACT     (FREE)    Top                           
R23        163.7000   1434.0000  180        EXACT     (FREE)    Top                           
R24        408.0000   1847.0000  270        EXACT     (FREE)    Top                           
R25        922.0000   522.4000   000        EXACT     (FREE)    Top                           
R26        922.0000   472.5000   000        EXACT     (FREE)    Top                           
R27        922.0000   372.4000   000        EXACT     (FREE)    Top                           
R28        2319.7000  1000.8000  270        EXACT     (FREE)    Top                           
R29        758.2000   2196.8000  270        EXACT     (FREE)    Top                           
R30        2287.6000  908.0000   180        EXACT     (FREE)    Top                           
R31        1903.4000  773.6000   180        EXACT     (FREE)    Top                           
R32        2030.2000  1026.4000  180        EXACT     (FREE)    Top                           
R33        2025.7000  878.5000   225        EXACT     (FREE)    Top                           
R34        2028.5000  970.9000   180        EXACT     (FREE)    Top                           
R35        2246.7000  1112.1000  000        EXACT     (FREE)    Top                           
R36        885.8000   2060.3000  270        EXACT     (FREE)    Top                           
SW1        2580.0000  420.0000   090        EXACT     (FREE)    Top                           
T1         1520.7000  545.9000   045        EXACT     (FREE)    Top                           
U1         1592.2000  365.3000   045        EXACT     (FREE)    Top                           
U2         2029.0000  612.0000   045        EXACT     (FREE)    Top                           
U3         2808.0000  1394.0000  225        EXACT     (FREE)    Top                           
U4         806.0000   413.0000   270        EXACT     (FREE)    Top                           
U5         1046.0000  1247.0000  045        EXACT     (FREE)    Top                           
U6         2076.0000  1616.0000  000        EXACT     (FREE)    Top                           
USB1       1670.0000  60.0000    000        EXACT     (FREE)    Top                           
XTAL1      2791.2000  1612.4000  315        EXACT     (FREE)    Top                           
Z1         1899.5000  580.8000   045        EXACT     (FREE)    Top                           
Z2         2024.4000  705.7000   045        EXACT     (FREE)    Top                           
Z3         1034.1000  367.5000   045        EXACT     (FREE)    Top                           
