RefDes     X          Y          Rot.       Exact     (FREE)    Side
A1         370.0000   110.0000   180        EXACT     (FREE)    Top                           
A2         980.0000   2560.0000  000        EXACT     (FREE)    Top                           
BT         1670.0000  1350.0000  000        EXACT     (FREE)    Bottom                        
C1         1670.0000  290.0000   000        EXACT     (FREE)    Top                           
C2         2925.0000  175.0000   090        EXACT     (FREE)    Top                           
C3         1330.0000  375.0000   090        EXACT     (FREE)    Top                           
C4         2820.0000  430.0000   000        EXACT     (FREE)    Top                           
C5         2820.0000  545.0000   000        EXACT     (FREE)    Top                           
C6         2140.0000  1950.0000  000        EXACT     (FREE)    Top                           
C7         2370.0000  1870.0000  090        EXACT     (FREE)    Top                           
C8         2180.0000  1590.0000  000        EXACT     (FREE)    Top                           
C9         975.0000   1975.0000  090        EXACT     (FREE)    Top                           
C10        1105.0000  1975.0000  090        EXACT     (FREE)    Top                           
CR1        1670.0000  1870.0000  000        EXACT     (FREE)    Top                           
D1         1365.0000  170.0000   270        EXACT     (FREE)    Top                           
FB1        2160.0000  1710.0000  000        EXACT     (FREE)    Top                           
J1         1670.0000  60.0000    000        EXACT     (FREE)    Top                           
J2         440.0000   1870.0000  000        EXACT     (FREE)    Top                           
J3         775.0000   810.0000   000        EXACT     (FREE)    Top                           
J4         3015.0000  1300.0000  180        EXACT     (FREE)    Top                           
Q1         490.0000   2250.0000  000        EXACT     (FREE)    Top                           
Q2         2290.0000  660.0000   000        EXACT     (FREE)    Top                           
Q3         2280.0000  250.0000   000        EXACT     (FREE)    Top                           
Q4         400.0000   1670.0000  000        EXACT     (FREE)    Top                           
Q5         270.0000   570.0000   180        EXACT     (FREE)    Top                           
R1         260.0000   2050.0000  270        EXACT     (FREE)    Top                           
R2         770.0000   1900.0000  090        EXACT     (FREE)    Top                           
R3         280.0000   2410.0000  180        EXACT     (FREE)    Top                           
R4         1900.0000  1820.0000  000        EXACT     (FREE)    Top                           
R5         1900.0000  1920.0000  000        EXACT     (FREE)    Top                           
R6         1990.0000  460.0000   090        EXACT     (FREE)    Top                           
R7         2210.0000  840.0000   270        EXACT     (FREE)    Top                           
R8         2300.0000  400.0000   270        EXACT     (FREE)    Top                           
R9         2210.0000  400.0000   270        EXACT     (FREE)    Top                           
R10        2090.0000  210.0000   000        EXACT     (FREE)    Top                           
R11        2260.0000  530.0000   180        EXACT     (FREE)    Top                           
R12        1620.0000  450.0000   270        EXACT     (FREE)    Top                           
R13        280.0000   2230.0000  180        EXACT     (FREE)    Top                           
R14        2920.0000  730.0000   270        EXACT     (FREE)    Top                           
R15        2540.0000  1055.0000  180        EXACT     (FREE)    Top                           
R16        2795.0000  875.0000   180        EXACT     (FREE)    Top                           
R17        2540.0000  1170.0000  000        EXACT     (FREE)    Top                           
R18        2160.0000  1850.0000  180        EXACT     (FREE)    Top                           
R19        355.0000   1380.0000  090        EXACT     (FREE)    Top                           
R20        400.0000   1540.0000  180        EXACT     (FREE)    Top                           
R21        1520.0000  380.0000   270        EXACT     (FREE)    Top                           
R22        1430.0000  380.0000   270        EXACT     (FREE)    Top                           
R23        1720.0000  450.0000   270        EXACT     (FREE)    Top                           
R24        1890.0000  540.0000   270        EXACT     (FREE)    Top                           
R25        1890.0000  380.0000   090        EXACT     (FREE)    Top                           
R26        260.0000   850.0000   000        EXACT     (FREE)    Top                           
R27        260.0000   720.0000   000        EXACT     (FREE)    Top                           
R28        300.0000   430.0000   180        EXACT     (FREE)    Top                           
RT1        2100.0000  460.0000   090        EXACT     (FREE)    Top                           
S1         2580.0000  420.0000   090        EXACT     (FREE)    Top                           
U1         2050.0000  610.0000   045        EXACT     (FREE)    Top                           
U2         1350.0000  530.0000   045        EXACT     (FREE)    Top                           
U3         770.0000   970.0000   135        EXACT     (FREE)    Top                           
U4         1190.0000  110.0000   180        EXACT     (FREE)    Top                           
U5         1670.0000  1180.0000  045        EXACT     (FREE)    Top                           
U6         2815.0000  740.0000   225        EXACT     (FREE)    Top                           
U7         1025.0000  1600.0000  000        EXACT     (FREE)    Top                           
Y1         1148.7000  1795.0000  180        EXACT     (FREE)    Top                           
