RefDes     X          Y          Rot.       Exact     (FREE)    Side
ANT1       8900.0000  2563.0000  090        EXACT     (FREE)    Top                           
ANT2       70.0000    2800.0000  090        EXACT     (FREE)    Top                           
ANT3       3828.0000  5500.0000  000        EXACT     (FREE)    Top                           
BAT1       1750.0000  1100.0000  270        EXACT     (FREE)    Top                           
C1         1900.0000  625.0000   000        EXACT     (FREE)    Top                           
C2         881.5000   1311.0000  180        EXACT     (FREE)    Top                           
C3         3000.0000  675.0000   180        EXACT     (FREE)    Top                           
C4         2800.0000  825.0000   270        EXACT     (FREE)    Top                           
C5         3300.0000  1425.0000  000        EXACT     (FREE)    Top                           
C6         4300.0000  5350.0000  180        EXACT     (FREE)    Top                           
C7         3525.0000  1275.0000  090        EXACT     (FREE)    Top                           
C8         7579.5000  601.5000   000        EXACT     (FREE)    Top                           
C9         1575.0000  450.0000   270        EXACT     (FREE)    Top                           
C10        1395.8248  884.0436   180        EXACT     (FREE)    Top                           
C11        1675.0000  1250.0000  000        EXACT     (FREE)    Top                           
C12        1275.0000  1250.0000  000        EXACT     (FREE)    Top                           
C13        4750.0000  320.0000   180        EXACT     (FREE)    Top                           
C14        3835.0000  250.0000   180        EXACT     (FREE)    Top                           
C15        4750.0000  190.0000   180        EXACT     (FREE)    Top                           
C16        2262.0000  3110.0000  000        EXACT     (FREE)    Top                           
C17        6500.0000  550.0000   090        EXACT     (FREE)    Top                           
C18        6250.0000  850.0000   270        EXACT     (FREE)    Top                           
C19        5100.0000  5000.0000  000        EXACT     (FREE)    Top                           
C20        5235.0000  3190.0000  180        EXACT     (FREE)    Top                           
C21        5875.0000  1475.0000  000        EXACT     (FREE)    Top                           
C22        5875.0000  1350.0000  000        EXACT     (FREE)    Top                           
C23        5175.0000  1800.0000  090        EXACT     (FREE)    Top                           
C24        5325.0000  1800.0000  090        EXACT     (FREE)    Top                           
C25        5025.0000  1800.0000  090        EXACT     (FREE)    Top                           
C26        5875.0000  1900.0000  000        EXACT     (FREE)    Top                           
C27        5875.0000  1600.0000  000        EXACT     (FREE)    Top                           
C28        4750.0000  1250.0000  000        EXACT     (FREE)    Top                           
C29        4750.0000  1400.0000  000        EXACT     (FREE)    Top                           
C30        4850.0000  750.0000   270        EXACT     (FREE)    Top                           
C31        4750.0000  1550.0000  000        EXACT     (FREE)    Top                           
C32        4475.0000  1025.0000  270        EXACT     (FREE)    Top                           
C33        4600.0000  750.0000   270        EXACT     (FREE)    Top                           
C34        8757.5000  2624.0000  270        EXACT     (FREE)    Top                           
C35        8586.5000  2624.0000  270        EXACT     (FREE)    Top                           
C36        8499.5000  2649.0000  000        EXACT     (FREE)    Top                           
C37        8481.5000  2380.5000  000        EXACT     (FREE)    Top                           
C38        7525.0000  2625.0000  180        EXACT     (FREE)    Top                           
