RefDes     X          Y          Rot.       Exact     (FREE)    Side
ANT1       1382.0000  2875.0000  000        EXACT     (FREE)    Top                           
BAT1       3690.0000  2460.0000  180        EXACT     (FREE)    Top                           
C1         3005.0000  955.0000   090        EXACT     (FREE)    Top                           
C2         1414.2425  1778.0371  000        EXACT     (FREE)    Top                           
C3         710.0000   2435.0000  180        EXACT     (FREE)    Top                           
C4         1695.0000  2120.0000  270        EXACT     (FREE)    Top                           
C5         1820.0000  1860.0000  090        EXACT     (FREE)    Top                           
C6         924.9129   1749.0394  000        EXACT     (FREE)    Top                           
C7         1820.0000  2120.0000  090        EXACT     (FREE)    Top                           
C8         1705.0000  2640.0000  090        EXACT     (FREE)    Top                           
C9         1470.0000  2500.0000  090        EXACT     (FREE)    Top                           
C10        1495.0449  2585.2060  000        EXACT     (FREE)    Top                           
C11        1148.1017  2604.5099  180        EXACT     (FREE)    Top                           
C12        1348.2461  2630.2796  090        EXACT     (FREE)    Top                           
C13        940.0000   2635.0000  090        EXACT     (FREE)    Top                           
C14        1494.2742  2753.1149  000        EXACT     (FREE)    Top                           
C15        1290.0000  1145.0000  090        EXACT     (FREE)    Top                           
C16        1215.0000  955.0000   180        EXACT     (FREE)    Top                           
C17        1300.0000  500.0000   000        EXACT     (FREE)    Top                           
C18        1840.0000  865.0000   000        EXACT     (FREE)    Top                           
C19        1795.0000  1055.0000  000        EXACT     (FREE)    Top                           
C20        1410.0000  1145.0000  090        EXACT     (FREE)    Top                           
C21        565.0000   410.0000   000        EXACT     (FREE)    Top                           
C22        4035.0000  1310.0000  180        EXACT     (FREE)    Top                           
C23        4082.9831  975.3128   090        EXACT     (FREE)    Top                           
C24        4035.0000  1175.0000  180        EXACT     (FREE)    Top                           
C25        4040.0000  1455.0000  180        EXACT     (FREE)    Top                           
C26        4362.9831  975.3128   090        EXACT     (FREE)    Top                           
C27        3860.0000  130.0000   000        EXACT     (FREE)    Top                           
C28        3860.0000  260.0000   000        EXACT     (FREE)    Top                           
C29        2295.0000  800.0000   090        EXACT     (FREE)    Top                           
C30        1855.0000  1655.0000  000        EXACT     (FREE)    Top                           
C31        1855.0000  1535.0000  000        EXACT     (FREE)    Top                           
C32        1855.0000  1410.0000  000        EXACT     (FREE)    Top                           
C33        4355.0000  1685.0000  270        EXACT     (FREE)    Top                           
C34        4355.0000  1420.0000  090        EXACT     (FREE)    Top                           
C35        2860.0000  290.0000   180        EXACT     (FREE)    Top                           
C36        2330.0000  1025.0000  180        EXACT     (FREE)    Top                           
C37        2330.0000  1150.0000  180        EXACT     (FREE)    Top                           
FB1        1685.0000  2475.0000  180        EXACT     (FREE)    Top                           
FB2        1570.0000  2475.0000  180        EXACT     (FREE)    Top                           
FB3        1470.0000  2670.0000  090        EXACT     (FREE)    Top                           
FID1       400.0000   150.0000   000        EXACT     (FREE)    Top                           
FID2       4170.0000  150.0000   000        EXACT     (FREE)    Top                           
