RefDes     X          Y          Rot.       Exact     (FREE)    Side
FID3       4170.0000  2850.0000  000        EXACT     (FREE)    Top                           
J1         2040.0000  70.0000    000        EXACT     (FREE)    Top                           
J2         2180.0000  2765.0000  000        EXACT     (FREE)    Top                           
J3         215.0000   2470.0000  270        EXACT     (FREE)    Top                           
J4         695.0000   520.0000   090        EXACT     (FREE)    Top                           
J5         1395.0000  2155.0000  270        EXACT     (FREE)    Top                           
J6         820.0000   2240.0000  090        EXACT     (FREE)    Top                           
J7         1470.0000  2230.0000  180        EXACT     (FREE)    Top                           
J8         1133.4988  2515.1750  000        EXACT     (FREE)    Top                           
J9         1470.0000  2075.0000  090        EXACT     (FREE)    Top                           
J10        1110.0000  1970.0000  180        EXACT     (FREE)    Top                           
J11        965.0000   1895.0000  090        EXACT     (FREE)    Top                           
J12        820.0000   2090.0000  090        EXACT     (FREE)    Top                           
J13        745.0000   2090.0000  090        EXACT     (FREE)    Top                           
J14        745.0000   2240.0000  090        EXACT     (FREE)    Top                           
J15        1260.0000  1900.0000  180        EXACT     (FREE)    Top                           
J16        1545.0000  2305.0000  270        EXACT     (FREE)    Top                           
J17        670.0000   2160.0000  270        EXACT     (FREE)    Top                           
J18        670.0000   2240.0000  090        EXACT     (FREE)    Top                           
J19        1133.4988  2442.1609  000        EXACT     (FREE)    Top                           
J20        1545.0000  2150.0000  270        EXACT     (FREE)    Top                           
J21        1410.0000  1970.0000  180        EXACT     (FREE)    Top                           
J22        1410.0000  1900.0000  180        EXACT     (FREE)    Top                           
J23        1185.0000  1830.0000  180        EXACT     (FREE)    Top                           
J24        1260.0000  1970.0000  180        EXACT     (FREE)    Top                           
J25        1110.0000  1900.0000  180        EXACT     (FREE)    Top                           
J26        1550.0000  460.0000   180        EXACT     (FREE)    Top                           
J27        1625.0000  1030.0000  180        EXACT     (FREE)    Top                           
J28        1885.0000  700.0000   090        EXACT     (FREE)    Top                           
J29        1625.0000  955.0000   180        EXACT     (FREE)    Top                           
J30        1400.0000  855.0000   270        EXACT     (FREE)    Top                           
J31        1705.0000  955.0000   000        EXACT     (FREE)    Top                           
J32        1805.0000  775.0000   270        EXACT     (FREE)    Top                           
J33        1400.0000  635.0000   090        EXACT     (FREE)    Top                           
J34        1475.0000  955.0000   180        EXACT     (FREE)    Top                           
J35        1630.0000  460.0000   000        EXACT     (FREE)    Top                           
J36        1320.0000  780.0000   090        EXACT     (FREE)    Top                           
J37        1320.0000  630.0000   090        EXACT     (FREE)    Top                           
J38        1550.0000  540.0000   180        EXACT     (FREE)    Top                           
J39        1705.0000  540.0000   180        EXACT     (FREE)    Top                           
J40        2750.0000  2220.0000  000        EXACT     (FREE)    Top                           
J41        380.0000   1200.0000  180        EXACT     (FREE)    Top                           
J42        155.0000   1200.0000  000        EXACT     (FREE)    Top                           
J43        375.0000   410.0000   180        EXACT     (FREE)    Top                           
J44        220.0000   410.0000   180        EXACT     (FREE)    Top                           
J45        4355.0000  450.0000   180        EXACT     (FREE)    Top                           
J46        4135.0000  450.0000   000        EXACT     (FREE)    Top                           
J47        4355.0000  550.0000   090        EXACT     (FREE)    Top                           
J48        4210.0000  380.0000   180        EXACT     (FREE)    Top                           
J49        3985.0000  450.0000   000        EXACT     (FREE)    Top                           
J50        4060.0000  380.0000   180        EXACT     (FREE)    Top                           
J51        4425.0000  770.0000   270        EXACT     (FREE)    Top                           
J52        4280.0000  375.0000   000        EXACT     (FREE)    Top                           
J53        3870.0000  540.0000   090        EXACT     (FREE)    Top                           
J54        3945.0000  540.0000   090        EXACT     (FREE)    Top                           
J55        3870.0000  680.0000   090        EXACT     (FREE)    Top                           
J56        3945.0000  680.0000   090        EXACT     (FREE)    Top                           
J57        3870.0000  825.0000   000        EXACT     (FREE)    Top                           
J58        3945.0000  895.0000   090        EXACT     (FREE)    Top                           
J59        3870.0000  895.0000   090        EXACT     (FREE)    Top                           
J60        4355.0000  770.0000   270        EXACT     (FREE)    Top                           
J61        3655.0000  1385.0000  090        EXACT     (FREE)    Top                           
J62        3350.0000  1605.0000  000        EXACT     (FREE)    Top                           
J63        3505.0000  1605.0000  000        EXACT     (FREE)    Top                           
J64        3655.0000  1605.0000  270        EXACT     (FREE)    Top                           
J65        3335.0000  1250.0000  000        EXACT     (FREE)    Top                           
J66        3410.0000  1180.0000  000        EXACT     (FREE)    Top                           
J67        3485.0000  1250.0000  000        EXACT     (FREE)    Top                           
J68        3265.0000  1535.0000  270        EXACT     (FREE)    Top                           
J69        3295.0000  905.0000   180        EXACT     (FREE)    Top                           
J70        2445.0000  255.0000   270        EXACT     (FREE)    Top                           
J71        2410.0000  710.0000   000        EXACT     (FREE)    Top                           
J72        2535.0000  760.0000   090        EXACT     (FREE)    Top                           
J73        2485.0000  890.0000   180        EXACT     (FREE)    Top                           
J74        1300.0000  1420.0000  270        EXACT     (FREE)    Top                           
J75        1300.0000  1565.0000  270        EXACT     (FREE)    Top                           
J76        1220.0000  1610.0000  180        EXACT     (FREE)    Top                           
J77        1145.0000  1345.0000  000        EXACT     (FREE)    Top                           
J78        870.0000   1200.0000  180        EXACT     (FREE)    Top                           
J79        795.0000   1275.0000  000        EXACT     (FREE)    Top                           
J80        1005.0000  895.0000   180        EXACT     (FREE)    Top                           
J81        950.0000   1200.0000  090        EXACT     (FREE)    Top                           
J82        780.0000   895.0000   000        EXACT     (FREE)    Top                           
J83        825.0000   685.0000   000        EXACT     (FREE)    Top                           
J84        890.0000   400.0000   180        EXACT     (FREE)    Top                           
LED1       3780.0000  1725.0000  180        EXACT     (FREE)    Top                           
M1         150.0000   150.0000   000        EXACT     (FREE)    Top                           
M2         4350.0000  150.0000   000        EXACT     (FREE)    Top                           
M3         150.0000   2650.0000  000        EXACT     (FREE)    Top                           
M4         4350.0000  2650.0000  000        EXACT     (FREE)    Top                           
Q1         2865.0000  1830.0000  180        EXACT     (FREE)    Top                           
Q2         4140.0000  1805.0000  090        EXACT     (FREE)    Top                           
R1         2955.0000  1635.0000  000        EXACT     (FREE)    Top                           
R2         2955.0000  1510.0000  000        EXACT     (FREE)    Top                           
R3         2735.0000  1325.0000  180        EXACT     (FREE)    Top                           
R4         2405.0000  1625.0000  270        EXACT     (FREE)    Top                           
R5         2275.0000  1625.0000  270        EXACT     (FREE)    Top                           
R6         2145.0000  1625.0000  270        EXACT     (FREE)    Top                           
R7         2125.0000  1075.0000  090        EXACT     (FREE)    Top                           
R8         1845.0000  510.0000   270        EXACT     (FREE)    Top                           
R9         3065.0000  1995.0000  180        EXACT     (FREE)    Top                           
R10        3065.0000  2115.0000  180        EXACT     (FREE)    Top                           
R11        565.0000   1200.0000  180        EXACT     (FREE)    Top                           
R12        1695.0000  1860.0000  090        EXACT     (FREE)    Top                           
R13        3630.0000  490.0000   000        EXACT     (FREE)    Top                           
R14        3630.0000  605.0000   000        EXACT     (FREE)    Top                           
R15        3630.0000  375.0000   000        EXACT     (FREE)    Top                           
R16        3630.0000  260.0000   000        EXACT     (FREE)    Top                           
R17        3495.0000  1810.0000  180        EXACT     (FREE)    Top                           
R18        3075.0000  1335.0000  000        EXACT     (FREE)    Top                           
R19        3150.0000  1175.0000  180        EXACT     (FREE)    Top                           
R20        3140.0000  730.0000   090        EXACT     (FREE)    Top                           
R21        3260.0000  730.0000   090        EXACT     (FREE)    Top                           
R22        3380.0000  730.0000   090        EXACT     (FREE)    Top                           
R23        2010.0000  445.0000   090        EXACT     (FREE)    Top                           
R24        2130.0000  445.0000   090        EXACT     (FREE)    Top                           
R25        2990.0000  605.0000   090        EXACT     (FREE)    Top                           
R26        2515.0000  520.0000   270        EXACT     (FREE)    Top                           
R27        3990.0000  1720.0000  270        EXACT     (FREE)    Top                           
R28        4355.0000  1950.0000  270        EXACT     (FREE)    Top                           
R29        2525.0000  1220.0000  090        EXACT     (FREE)    Top                           
R30        2525.0000  1475.0000  090        EXACT     (FREE)    Top                           
SW1        2705.0000  60.0000    000        EXACT     (FREE)    Top                           
TP1        1070.7927  2735.0763  000        EXACT     (FREE)    Top                           
TP2        1217.6797  2735.9352  000        EXACT     (FREE)    Top                           
TP3        730.0000   2755.0000  000        EXACT     (FREE)    Top                           
TP4        730.0000   2600.0000  000        EXACT     (FREE)    Top                           
TP5        1625.5792  2373.2784  000        EXACT     (FREE)    Top                           
TP6        1840.0000  2325.0000  000        EXACT     (FREE)    Top                           
TP7        1465.9235  1650.0003  000        EXACT     (FREE)    Top                           
TP8        1165.0000  1715.0000  000        EXACT     (FREE)    Top                           
TP9        3340.0000  1015.0000  000        EXACT     (FREE)    Top                           
TP10       3180.0000  1015.0000  000        EXACT     (FREE)    Top                           
TP11       496.5453   2584.1188  000        EXACT     (FREE)    Top                           
TP12       2005.0000  2325.0000  000        EXACT     (FREE)    Top                           
TP13       1980.0000  2150.0000  000        EXACT     (FREE)    Top                           
TP14       2820.0000  1995.0000  000        EXACT     (FREE)    Top                           
TP15       1980.0000  1990.0000  000        EXACT     (FREE)    Top                           
TP16       565.0000   2060.0000  000        EXACT     (FREE)    Top                           
TP17       710.0000   1930.0000  000        EXACT     (FREE)    Top                           
TP18       2670.0000  1845.0000  000        EXACT     (FREE)    Top                           
TP19       1980.0000  1825.0000  000        EXACT     (FREE)    Top                           
TP20       1180.0000  805.0000   000        EXACT     (FREE)    Top                           
TP21       1180.0000  640.0000   000        EXACT     (FREE)    Top                           
TP22       1130.0000  1120.0000  000        EXACT     (FREE)    Top                           
TP23       4350.0000  1190.0000  000        EXACT     (FREE)    Top                           
TP24       3770.0000  1465.0000  000        EXACT     (FREE)    Top                           
TP25       3865.0000  410.0000   000        EXACT     (FREE)    Top                           
TP26       3570.0000  805.0000   000        EXACT     (FREE)    Top                           
TP27       2165.0000  730.0000   000        EXACT     (FREE)    Top                           
TP28       1755.0000  230.0000   000        EXACT     (FREE)    Top                           
TP29       3330.0000  1970.0000  000        EXACT     (FREE)    Top                           
TP30       3200.0000  1665.0000  000        EXACT     (FREE)    Top                           
TP34       1580.0000  1160.0000  000        EXACT     (FREE)    Top                           
TP35       1590.0000  330.0000   000        EXACT     (FREE)    Top                           
TP36       1430.0000  330.0000   000        EXACT     (FREE)    Top                           
TP37       1265.0000  130.0000   000        EXACT     (FREE)    Top                           
TP38       1430.0000  135.0000   000        EXACT     (FREE)    Top                           
TP39       1270.0000  330.0000   000        EXACT     (FREE)    Top                           
TP40       1595.0000  135.0000   000        EXACT     (FREE)    Top                           
TP41       1085.0000  450.0000   000        EXACT     (FREE)    Top                           
TP42       3370.0000  480.0000   000        EXACT     (FREE)    Top                           
TP43       3725.0000  805.0000   000        EXACT     (FREE)    Top                           
TP44       3725.0000  965.0000   000        EXACT     (FREE)    Top                           
TP45       3860.0000  1115.0000  000        EXACT     (FREE)    Top                           
TP46       515.0000   1875.0000  000        EXACT     (FREE)    Top                           
TP47       485.0000   2735.0000  000        EXACT     (FREE)    Top                           
TP48       3570.0000  965.0000   000        EXACT     (FREE)    Top                           
TP49       3705.0000  1115.0000  000        EXACT     (FREE)    Top                           
TP50       2565.0000  995.0000   000        EXACT     (FREE)    Top                           
TP51       2740.0000  940.0000   000        EXACT     (FREE)    Top                           
TP52       2010.0000  730.0000   000        EXACT     (FREE)    Top                           
TP53       2655.0000  795.0000   000        EXACT     (FREE)    Top                           
TP54       3310.0000  270.0000   000        EXACT     (FREE)    Top                           
TP55       3205.0000  485.0000   000        EXACT     (FREE)    Top                           
TP56       2330.0000  275.0000   000        EXACT     (FREE)    Top                           
TP57       2330.0000  120.0000   000        EXACT     (FREE)    Top                           
TP58       1620.0000  1650.0000  000        EXACT     (FREE)    Top                           
TP59       1000.0000  1575.0000  000        EXACT     (FREE)    Top                           
TP60       1620.0000  1495.0000  000        EXACT     (FREE)    Top                           
TP61       1465.0000  1495.0000  000        EXACT     (FREE)    Top                           
U1         4145.0000  655.0000   090        EXACT     (FREE)    Top                           
U2         4100.0000  1685.0000  270        EXACT     (FREE)    Top                           
U3         1050.0000  225.0000   270        EXACT     (FREE)    Top                           
U4         3455.0000  1420.0000  180        EXACT     (FREE)    Top                           
U5         865.0000   1045.0000  000        EXACT     (FREE)    Top                           
U6         865.0000   550.0000   000        EXACT     (FREE)    Top                           
U7         2450.0000  800.0000   000        EXACT     (FREE)    Top                           
U8         670.0000   1525.0000  000        EXACT     (FREE)    Top                           
U9         1165.0000  1485.0000  270        EXACT     (FREE)    Top                           
U10        1130.0000  2195.0000  000        EXACT     (FREE)    Top                           
U11        2690.0000  445.0000   000        EXACT     (FREE)    Top                           
U12        2730.0000  1115.0000  000        EXACT     (FREE)    Top                           
U13        3105.0000  1875.0000  180        EXACT     (FREE)    Top                           
U14        2855.0000  795.0000   180        EXACT     (FREE)    Top                           
U15        1595.0000  740.0000   180        EXACT     (FREE)    Top                           
U16        3225.0000  1780.0000  000        EXACT     (FREE)    Top                           
U17        2370.0000  1355.0000  180        EXACT     (FREE)    Top                           
X1         1336.2202  2440.4429  000        EXACT     (FREE)    Top                           
X2         4222.9831  910.3128   000        EXACT     (FREE)    Top                           
X3         975.0000   2435.0000  180        EXACT     (FREE)    Top                           
ZA1        2235.0000  495.0000   000        EXACT     (FREE)    Top                           
