RefDes     X          Y          Rot.       Exact     (FREE)    Side
ANT1       10.6500    -01.7501   270        EXACT     (FREE)    Bottom                        
ANT2       24.6715    68.1736    000        EXACT     (FREE)    Bottom                        
C1         45.5032    -01.0178   270        EXACT     (FREE)    Top                           
C2         49.9243    06.0066    180        EXACT     (FREE)    Top                           
C3         45.7591    11.9182    270        EXACT     (FREE)    Bottom                        
C4         12.4197    -05.2387   090        EXACT     (FREE)    Bottom                        
C5         13.7878    00.1106    180        EXACT     (FREE)    Bottom                        
C6         34.9036    53.8534    090        EXACT     (FREE)    Bottom                        
C7         -03.2864   57.8275    000        EXACT     (FREE)    Top                           
C8         45.3193    08.1857    180        EXACT     (FREE)    Top                           
C9         03.4242    48.9212    090        EXACT     (FREE)    Top                           
C10        08.0734    48.6444    090        EXACT     (FREE)    Top                           
C11        12.4423    49.9251    000        EXACT     (FREE)    Top                           
C12        15.3943    59.9053    180        EXACT     (FREE)    Top                           
C13        51.3550    11.9324    090        EXACT     (FREE)    Bottom                        
C14        46.4584    11.9123    090        EXACT     (FREE)    Bottom                        
C15        45.6184    34.8488    180        EXACT     (FREE)    Top                           
C16        46.5097    51.9956    180        EXACT     (FREE)    Top                           
C17        46.5074    51.1879    180        EXACT     (FREE)    Top                           
C18        44.2087    34.8488    000        EXACT     (FREE)    Top                           
C19        45.3801    51.4347    270        EXACT     (FREE)    Top                           
C20        47.8541    16.0101    000        EXACT     (FREE)    Bottom                        
C21        34.5948    00.2032    180        EXACT     (FREE)    Top                           
C22        38.3129    02.3068    000        EXACT     (FREE)    Top                           
C23        37.5310    04.7404    090        EXACT     (FREE)    Top                           
C24        32.2011    00.6170    000        EXACT     (FREE)    Top                           
C25        31.3533    03.9627    000        EXACT     (FREE)    Bottom                        
C26        30.4975    02.9804    000        EXACT     (FREE)    Bottom                        
C27        26.5984    05.3099    270        EXACT     (FREE)    Top                           
C28        26.6060    04.1567    090        EXACT     (FREE)    Top                           
C29        30.7919    -00.4592   180        EXACT     (FREE)    Top                           
C30        40.4876    -04.2418   180        EXACT     (FREE)    Top                           
C31        31.5048    22.3843    000        EXACT     (FREE)    Top                           
C32        36.5923    26.7909    270        EXACT     (FREE)    Top                           
C33        36.5920    27.8417    090        EXACT     (FREE)    Top                           
C34        36.3220    30.3276    090        EXACT     (FREE)    Top                           
C35        40.3654    21.3617    270        EXACT     (FREE)    Top                           
C36        39.5877    23.6952    180        EXACT     (FREE)    Top                           
C37        43.8981    25.7673    270        EXACT     (FREE)    Top                           
