[2017.11.28 18:31:23] [0729m.40s.070ms] [0] WELCOME
[2017.11.28 18:31:23] [0729m.40s.071ms] [1] iCDB Client ver.1.093, 4eaDVz8EvVKuZCsHMzatSQ, build:488395 created 2012-01-27 13:24:08, sources stamp:4eaDVz8EvVKuZCsHMzatSQ
[2017.11.28 18:31:23] [0729m.40s.071ms] [1] Copyright 2012 Mentor Graphics Corporation. All Rights Reserved.
[2017.11.28 18:31:23] [0729m.40s.071ms] [1] Base flow version [7.9.3]
[2017.11.28 18:31:23] [0729m.40s.071ms] [1] GBS Install Id [24044], Flow Id [PADS 9.4.1], Full Flow Name [PADS 9.4.1], Exact Access Date [Nov 1 2011]
[2017.11.28 18:31:23] [0729m.40s.071ms] [1] Machine [DESKTOP-APFMU2M]  User [klutc]  PID [7400]
[2017.11.28 18:31:23] [0729m.40s.081ms] [1] Operating system [Microsoft Home Premium Edition, 64-bit (build 9200)]
[2017.11.28 18:31:23] [0729m.40s.081ms] [1] Current working dir [C:\EyeProject\Eye]
[2017.11.28 18:31:23] [0729m.40s.081ms] [1] PATH [C:\MentorGraphics\9.4PADS\SDD_HOME\wv\win32\bin;C:\Program Files\Docker\Docker\Resources\bin;C:\Program Files (x86)\NVIDIA Corporation\PhysX\Common;C:\ProgramData\Oracle\Java\javapath;C:\MentorGraphics\9.4PADS\SDD_HOME\common\win32\bin;C:\MentorGraphics\9.4PADS\SDD_HOME\common\win32\lib;C:\MentorGraphics\9.4PADS\MGC_HOME.ixn\bin;C:\MentorGraphics\9.4PADS\MGC_HOME.ixn\lib;C:\WINDOWS\system32;C:\WINDOWS;C:\WINDOWS\System32\Wbem;C:\WINDOWS\System32\WindowsPowerShell\v1.0\;C:\Program Files (x86)\Skype\Phone\;C:\Program Files\Git\cmd;C:\Program Files (x86)\Mercurial;C:\Program Files\Cinterion\Module Exchange Suite\;C:\Program Files (x86)\Java\jdk1.7.0_25\bin;c:\Program Files (x86)\Microsoft SQL Server\110\Tools\Binn\;c:\Program Files\Microsoft SQL Server\110\Tools\Binn\;c:\Program Files\Microsoft SQL Server\110\DTS\Binn\;C:\Program Files (x86)\Windows Kits\8.1\Windows Performance Toolkit\;C:\Users\klutc\AppData\Local\Programs\Python\Python36-32\Scripts\;C:\Users\klutc\AppData\Local\Programs\Python\Python36-32\;C:\Program Files (x86)\GNU Tools ARM Embedded\6 2017-q2-update\bin;C:\Users\klutc\AppData\Local\Microsoft\WindowsApps;C:\MentorGraphics\9.4PADS\SDD_HOME\common\win32\lib;C:\MentorGraphics\9.4PADS\SDD_HOME\CAMCAD;C:\Program Files (x86)\proXPN\bin;C:\Users\klutc\AppData\Local\atom\bin;%USERPROFILE%\AppData\Local\Microsoft\WindowsApps;]
[2017.11.28 18:31:23] [0729m.40s.081ms] [1] SDD_HOME [C:\MentorGraphics\9.4PADS\SDD_HOME] on file system [NTFS]
[2017.11.28 18:31:23] [0729m.40s.081ms] [1] SDD_PLATFORM [win32]
[2017.11.28 18:31:23] [0729m.40s.081ms] [1] WDIR [C:\PADS Projects;C:\MentorGraphics\9.4PADS\SDD_HOME\standard]
[2017.11.28 18:31:23] [0729m.40s.081ms] [1] Local iCDB working dir [C:\PADS Projects\iCDB] on file system [NTFS]
[2017.11.28 18:31:23] [0729m.40s.081ms] [3] AMP: CREATE
[2017.11.28 18:31:23] [0729m.40s.081ms] [2] NE: CREATE
[2017.11.28 18:31:23] [0729m.40s.082ms] [1] IC: Project GUID [06ab-0492-8525-d619-24dc-61a7-4dc6-1a50-37c2-604e-fc25-676e]
[2017.11.28 18:31:23] [0729m.40s.082ms] [1] IC: Project path [C:\EyeProject\Eye\database] on file system [NTFS]
[2017.11.28 18:31:23] [0729m.40s.082ms] [1] IC: Working in FULL access mode
[2017.11.28 18:31:23] [0729m.40s.082ms] [2] AMP: START
[2017.11.28 18:31:23] [0729m.40s.119ms] [0] ServerToolkit: Running server: command [C:\MentorGraphics\9.4PADS\SDD_HOME\common\win32\bin\iCDBNetServer.exe] with parameters [C:\MentorGraphics\9.4PADS\SDD_HOME\common\win32\bin\iCDBNetServer.exe -db "C:\EyeProject\Eye\database" -prj "C:\EyeProject\Eye\Eye.prj" -dbid "06ab-0492-8525-d619-24dc-61a7-4dc6-1a50-37c2-604e-fc25-676e" -autoclose -client "DESKTOP-APFMU2M:klutc:7400" 
[2017.11.28 18:31:23] [0729m.40s.121ms] [0] ServerToolkit: Server command executed
[2017.11.28 18:31:24] [0729m.40s.528ms] [0] ServerToolkit: Server for project [C:\EyeProject\Eye\database] is running
[2017.11.28 18:31:24] [0729m.40s.528ms] [1] ServerProperties: Reading server properties for project [C:\EyeProject\Eye\database]
[2017.11.28 18:31:24] [0729m.40s.529ms] [0] ServerProperties: Host [DESKTOP-APFMU2M]  IP [127.0.0.1]  Port [10000]  GUID [7247-8dd3-bbf1-5adc-cc1f-d1a1-d1fd-1a50-2b13-300e-ff88-676e]  for project [C:\EyeProject\Eye\database] with GUID [06ab-0492-8525-d619-24dc-61a7-4dc6-1a50-37c2-604e-fc25-676e]
[2017.11.28 18:31:24] [0729m.40s.529ms] [1] Connecting to iCDB Server:  Host [DESKTOP-APFMU2M] IP [127.0.0.1]  Port [10000]
[2017.11.28 18:31:24] [0729m.40s.529ms] [1] Network: DNS query IP [127.0.0.1]
[2017.11.28 18:31:24] [0729m.40s.529ms] [1] Connected to iCDB Server [127.0.0.1]
[2017.11.28 18:32:14] [0730m.30s.867ms] [1] Session [12899] opened
[2017.11.28 18:32:14] [0730m.30s.867ms] [1] Working mode: Online
[2017.11.28 18:32:14] [0730m.30s.975ms] [1] C: Registered sub-client: [DxD] with ID: [1]
[2017.11.28 18:32:14] [0730m.30s.975ms] [1] INFO: Exclusive read locks disabled
[2017.11.28 18:32:15] [0730m.31s.467ms] [1] C: Registered sub-client: [TransactionRollbackSubClient] with ID: [2]
[2017.11.28 18:32:15] [0730m.31s.468ms] [1] C: Registered sub-client: [xprob] with ID: [3]
[2017.11.28 18:32:16] [0730m.33s.067ms] [1] C: Registered sub-client: [SelectionHolder] with ID: [4]
[2017.11.28 18:32:17] [0730m.33s.722ms] [1] C: Registered sub-client: [HdlProject] with ID: [5]
[2017.11.28 18:32:17] [0730m.33s.957ms] [1] C: Registered sub-client: [Navigator] with ID: [6]
[2017.11.28 18:32:18] [0730m.34s.356ms] [1] C: Registered sub-client: [OutputWindow] with ID: [7]
[2017.11.28 18:32:18] [0730m.34s.358ms] [1] C: Registered sub-client: [PlaceDevice] with ID: [8]
[2017.11.28 18:32:18] [0730m.34s.444ms] [1] C: Registered sub-client: [SAE] with ID: [9]
[2017.11.28 18:32:18] [0730m.34s.468ms] [1] C: Registered sub-client: [DxConstraints] with ID: [10]
[2017.11.28 18:32:18] [0730m.34s.469ms] [1] C: Registered sub-client: [CCZAddin] with ID: [11]
[2017.11.28 18:32:18] [0730m.34s.470ms] [1] C: Registered sub-client: [DxThumbnails] with ID: [12]
[2017.11.28 18:32:18] [0730m.34s.471ms] [1] C: Registered sub-client: [DxSim] with ID: [13]
[2017.11.28 18:32:18] [0730m.34s.653ms] [1] C: Registered sub-client: [SheetConnectorsCacheDxD:1511911938] with ID: [14]
[2017.11.28 18:32:18] [0730m.34s.788ms] [1] C: Registered sub-client: [NetsNamesCollectorDxD:1511911938] with ID: [15]
[2017.11.28 18:32:18] [0730m.34s.804ms] [1] C: Registered sub-client: [DxDbSearch] with ID: [16]
[2017.11.28 18:32:19] [0730m.35s.238ms] [1] C: Registered sub-client: [LDD_ECO_IMPORT] with ID: [17]
[2017.11.28 18:32:19] [0730m.35s.241ms] [1] C: Unregistered sub-client: [LDD_ECO_IMPORT] with ID: [17]
[2017.11.28 18:32:19] [0730m.35s.689ms] [1] C: Registered sub-client: [LDD_ECO_IMPORT] with ID: [18]
[2017.11.28 18:32:19] [0730m.35s.692ms] [1] C: Unregistered sub-client: [LDD_ECO_IMPORT] with ID: [18]
[2017.11.28 18:32:20] [0730m.36s.690ms] [1] C: Registered sub-client: [LDD_ECO_IMPORT] with ID: [19]
[2017.11.28 18:32:20] [0730m.36s.691ms] [1] C: Unregistered sub-client: [LDD_ECO_IMPORT] with ID: [19]
[2017.11.28 18:32:21] [0730m.37s.691ms] [1] C: Registered sub-client: [LDD_ECO_IMPORT] with ID: [20]
[2017.11.28 18:32:21] [0730m.37s.695ms] [1] C: Unregistered sub-client: [LDD_ECO_IMPORT] with ID: [20]
[2017.11.28 18:32:22] [0730m.38s.690ms] [1] C: Registered sub-client: [LDD_ECO_IMPORT] with ID: [21]
[2017.11.28 18:32:22] [0730m.38s.695ms] [1] C: Unregistered sub-client: [LDD_ECO_IMPORT] with ID: [21]
[2017.11.28 18:32:23] [0730m.39s.693ms] [1] C: Registered sub-client: [LDD_ECO_IMPORT] with ID: [22]
[2017.11.28 18:32:23] [0730m.39s.697ms] [1] C: Unregistered sub-client: [LDD_ECO_IMPORT] with ID: [22]
[2017.11.28 18:32:24] [0730m.40s.696ms] [1] C: Registered sub-client: [LDD_ECO_IMPORT] with ID: [23]
