[2017.11.21 19:32:11] [0790m.34s.280ms] [0] WELCOME
[2017.11.21 19:32:11] [0790m.34s.281ms] [1] iCDB Client ver.1.093, 4eaDVz8EvVKuZCsHMzatSQ, build:488395 created 2012-01-27 13:24:08, sources stamp:4eaDVz8EvVKuZCsHMzatSQ
[2017.11.21 19:32:11] [0790m.34s.281ms] [1] Copyright 2012 Mentor Graphics Corporation. All Rights Reserved.
[2017.11.21 19:32:11] [0790m.34s.281ms] [1] Base flow version [7.9.3]
[2017.11.21 19:32:11] [0790m.34s.281ms] [1] GBS Install Id [24044], Flow Id [PADS 9.4.1], Full Flow Name [PADS 9.4.1], Exact Access Date [Nov 1 2011]
[2017.11.21 19:32:11] [0790m.34s.281ms] [1] Machine [DESKTOP-APFMU2M]  User [klutc]  PID [10860]
[2017.11.21 19:32:11] [0790m.34s.282ms] [1] Operating system [Microsoft Home Premium Edition, 64-bit (build 9200)]
[2017.11.21 19:32:11] [0790m.34s.282ms] [1] Current working dir [C:\EyeProject\Eye]
[2017.11.21 19:32:11] [0790m.34s.282ms] [1] PATH [C:\MentorGraphics\9.4PADS\SDD_HOME\wv\win32\bin;C:\Program Files\Docker\Docker\Resources\bin;C:\Program Files (x86)\NVIDIA Corporation\PhysX\Common;C:\ProgramData\Oracle\Java\javapath;C:\MentorGraphics\9.4PADS\SDD_HOME\common\win32\bin;C:\MentorGraphics\9.4PADS\SDD_HOME\common\win32\lib;C:\MentorGraphics\9.4PADS\MGC_HOME.ixn\bin;C:\MentorGraphics\9.4PADS\MGC_HOME.ixn\lib;C:\WINDOWS\system32;C:\WINDOWS;C:\WINDOWS\System32\Wbem;C:\WINDOWS\System32\WindowsPowerShell\v1.0\;C:\Program Files (x86)\Skype\Phone\;C:\Program Files\Git\cmd;C:\Program Files (x86)\Mercurial;C:\Program Files\Cinterion\Module Exchange Suite\;C:\Program Files (x86)\Java\jdk1.7.0_25\bin;c:\Program Files (x86)\Microsoft SQL Server\110\Tools\Binn\;c:\Program Files\Microsoft SQL Server\110\Tools\Binn\;c:\Program Files\Microsoft SQL Server\110\DTS\Binn\;C:\Program Files (x86)\Windows Kits\8.1\Windows Performance Toolkit\;C:\Users\klutc\AppData\Local\Programs\Python\Python36-32\Scripts\;C:\Users\klutc\AppData\Local\Programs\Python\Python36-32\;C:\Program Files (x86)\GNU Tools ARM Embedded\6 2017-q2-update\bin;C:\Users\klutc\AppData\Local\Microsoft\WindowsApps;C:\MentorGraphics\9.4PADS\SDD_HOME\common\win32\lib;C:\MentorGraphics\9.4PADS\SDD_HOME\CAMCAD;C:\Program Files (x86)\proXPN\bin;C:\Users\klutc\AppData\Local\atom\bin;%USERPROFILE%\AppData\Local\Microsoft\WindowsApps;]
[2017.11.21 19:32:11] [0790m.34s.282ms] [1] SDD_HOME [C:\MentorGraphics\9.4PADS\SDD_HOME] on file system [NTFS]
[2017.11.21 19:32:11] [0790m.34s.282ms] [1] SDD_PLATFORM [win32]
[2017.11.21 19:32:11] [0790m.34s.282ms] [1] WDIR [C:\PADS Projects;C:\MentorGraphics\9.4PADS\SDD_HOME\standard]
[2017.11.21 19:32:11] [0790m.34s.282ms] [1] Local iCDB working dir [C:\PADS Projects\iCDB] on file system [NTFS]
[2017.11.21 19:32:11] [0790m.34s.282ms] [3] AMP: CREATE
[2017.11.21 19:32:11] [0790m.34s.282ms] [2] NE: CREATE
[2017.11.21 19:32:11] [0790m.34s.282ms] [1] IC: Project GUID [2d4b-a599-bfb7-69be-727e-90ac-27e9-0a50-540a-6614-7398-ea41]
[2017.11.21 19:32:11] [0790m.34s.282ms] [1] IC: Project path [C:\EyeProject\Eye\database] on file system [NTFS]
[2017.11.21 19:32:11] [0790m.34s.282ms] [1] IC: Working in FULL access mode
[2017.11.21 19:32:11] [0790m.34s.282ms] [2] AMP: START
[2017.11.21 19:32:11] [0790m.34s.308ms] [0] ServerToolkit: Running server: command [C:\MentorGraphics\9.4PADS\SDD_HOME\common\win32\bin\iCDBNetServer.exe] with parameters [C:\MentorGraphics\9.4PADS\SDD_HOME\common\win32\bin\iCDBNetServer.exe -db "C:\EyeProject\Eye\database" -prj "C:\EyeProject\Eye\Eye.prj" -dbid "2d4b-a599-bfb7-69be-727e-90ac-27e9-0a50-540a-6614-7398-ea41" -autoclose -client "DESKTOP-APFMU2M:klutc:10860" 
[2017.11.21 19:32:11] [0790m.34s.309ms] [0] ServerToolkit: Server command executed
[2017.11.21 19:32:12] [0790m.34s.720ms] [0] ServerToolkit: Server for project [C:\EyeProject\Eye\database] is running
[2017.11.21 19:32:12] [0790m.34s.720ms] [1] ServerProperties: Reading server properties for project [C:\EyeProject\Eye\database]
[2017.11.21 19:32:12] [0790m.34s.721ms] [0] ServerProperties: Host [DESKTOP-APFMU2M]  IP [127.0.0.1]  Port [10000]  GUID [0a98-afa9-f0ed-b4c3-c85c-41a1-95c4-1a50-2502-300e-ff48-676e]  for project [C:\EyeProject\Eye\database] with GUID [2d4b-a599-bfb7-69be-727e-90ac-27e9-0a50-540a-6614-7398-ea41]
[2017.11.21 19:32:12] [0790m.34s.721ms] [1] Connecting to iCDB Server:  Host [DESKTOP-APFMU2M] IP [127.0.0.1]  Port [10000]
[2017.11.21 19:32:12] [0790m.34s.721ms] [1] Network: DNS query IP [127.0.0.1]
[2017.11.21 19:32:12] [0790m.34s.721ms] [1] Connected to iCDB Server [127.0.0.1]
[2017.11.21 19:32:48] [0791m.11s.211ms] [1] Session [12767] opened
[2017.11.21 19:32:48] [0791m.11s.211ms] [1] Working mode: Online
[2017.11.21 19:32:48] [0791m.11s.263ms] [1] C: Registered sub-client: [DxD] with ID: [1]
[2017.11.21 19:32:48] [0791m.11s.263ms] [1] INFO: Exclusive read locks disabled
[2017.11.21 19:32:49] [0791m.11s.646ms] [1] C: Registered sub-client: [TransactionRollbackSubClient] with ID: [2]
[2017.11.21 19:32:49] [0791m.11s.647ms] [1] C: Registered sub-client: [xprob] with ID: [3]
[2017.11.21 19:32:50] [0791m.13s.341ms] [1] C: Registered sub-client: [SelectionHolder] with ID: [4]
[2017.11.21 19:32:51] [0791m.13s.798ms] [1] C: Registered sub-client: [HdlProject] with ID: [5]
[2017.11.21 19:32:51] [0791m.13s.907ms] [1] C: Registered sub-client: [Navigator] with ID: [6]
[2017.11.21 19:32:51] [0791m.14s.067ms] [1] C: Registered sub-client: [OutputWindow] with ID: [7]
[2017.11.21 19:32:51] [0791m.14s.068ms] [1] C: Registered sub-client: [PlaceDevice] with ID: [8]
[2017.11.21 19:32:51] [0791m.14s.112ms] [1] C: Registered sub-client: [SAE] with ID: [9]
[2017.11.21 19:32:51] [0791m.14s.126ms] [1] C: Registered sub-client: [DxConstraints] with ID: [10]
[2017.11.21 19:32:51] [0791m.14s.127ms] [1] C: Registered sub-client: [CCZAddin] with ID: [11]
[2017.11.21 19:32:51] [0791m.14s.128ms] [1] C: Registered sub-client: [DxThumbnails] with ID: [12]
[2017.11.21 19:32:51] [0791m.14s.130ms] [1] C: Registered sub-client: [DxSim] with ID: [13]
[2017.11.21 19:32:51] [0791m.14s.277ms] [1] C: Registered sub-client: [SheetConnectorsCacheDxD:1511310771] with ID: [14]
[2017.11.21 19:32:51] [0791m.14s.360ms] [1] C: Registered sub-client: [NetsNamesCollectorDxD:1511310771] with ID: [15]
[2017.11.21 19:32:51] [0791m.14s.368ms] [1] C: Registered sub-client: [DxDbSearch] with ID: [16]
[2017.11.21 19:32:52] [0791m.14s.605ms] [1] C: Registered sub-client: [LDD_ECO_IMPORT] with ID: [17]
[2017.11.21 19:32:52] [0791m.14s.607ms] [1] C: Unregistered sub-client: [LDD_ECO_IMPORT] with ID: [17]
[2017.11.21 19:32:52] [0791m.15s.020ms] [1] C: Registered sub-client: [LDD_ECO_IMPORT] with ID: [18]
[2017.11.21 19:32:52] [0791m.15s.027ms] [1] C: Unregistered sub-client: [LDD_ECO_IMPORT] with ID: [18]
[2017.11.21 19:32:53] [0791m.16s.017ms] [1] C: Registered sub-client: [LDD_ECO_IMPORT] with ID: [19]
[2017.11.21 19:32:53] [0791m.16s.019ms] [1] C: Unregistered sub-client: [LDD_ECO_IMPORT] with ID: [19]
[2017.11.21 19:32:54] [0791m.17s.019ms] [1] C: Registered sub-client: [LDD_ECO_IMPORT] with ID: [20]
[2017.11.21 19:32:54] [0791m.17s.020ms] [1] C: Unregistered sub-client: [LDD_ECO_IMPORT] with ID: [20]
[2017.11.21 19:32:55] [0791m.18s.018ms] [1] C: Registered sub-client: [LDD_ECO_IMPORT] with ID: [21]
[2017.11.21 19:32:55] [0791m.18s.021ms] [1] C: Unregistered sub-client: [LDD_ECO_IMPORT] with ID: [21]
[2017.11.21 19:32:56] [0791m.19s.017ms] [1] C: Registered sub-client: [LDD_ECO_IMPORT] with ID: [22]
[2017.11.21 19:32:56] [0791m.19s.025ms] [1] C: Unregistered sub-client: [LDD_ECO_IMPORT] with ID: [22]
[2017.11.21 19:32:57] [0791m.20s.017ms] [1] C: Registered sub-client: [LDD_ECO_IMPORT] with ID: [23]
[2017.11.21 19:32:57] [0791m.20s.024ms] [1] C: Unregistered sub-client: [LDD_ECO_IMPORT] with ID: [23]
[2017.11.21 19:32:58] [0791m.21s.016ms] [1] C: Registered sub-client: [LDD_ECO_IMPORT] with ID: [24]
[2017.11.21 19:32:58] [0791m.21s.018ms] [1] C: Unregistered sub-client: [LDD_ECO_IMPORT] with ID: [24]
[2017.11.21 19:32:59] [0791m.22s.017ms] [1] C: Registered sub-client: [LDD_ECO_IMPORT] with ID: [25]
[2017.11.21 19:32:59] [0791m.22s.024ms] [1] C: Unregistered sub-client: [LDD_ECO_IMPORT] with ID: [25]
[2017.11.21 19:33:00] [0791m.23s.020ms] [1] C: Registered sub-client: [LDD_ECO_IMPORT] with ID: [26]
[2017.11.21 19:33:00] [0791m.23s.026ms] [1] C: Unregistered sub-client: [LDD_ECO_IMPORT] with ID: [26]
[2017.11.21 19:33:01] [0791m.24s.016ms] [1] C: Registered sub-client: [LDD_ECO_IMPORT] with ID: [27]
[2017.11.21 19:33:01] [0791m.24s.023ms] [1] C: Unregistered sub-client: [LDD_ECO_IMPORT] with ID: [27]
[2017.11.21 19:33:02] [0791m.25s.016ms] [1] C: Registered sub-client: [LDD_ECO_IMPORT] with ID: [28]
[2017.11.21 19:33:02] [0791m.25s.020ms] [1] C: Unregistered sub-client: [LDD_ECO_IMPORT] with ID: [28]
[2017.11.21 19:33:03] [0791m.26s.017ms] [1] C: Registered sub-client: [LDD_ECO_IMPORT] with ID: [29]
[2017.11.21 19:33:03] [0791m.26s.023ms] [1] C: Unregistered sub-client: [LDD_ECO_IMPORT] with ID: [29]
[2017.11.21 19:33:04] [0791m.27s.017ms] [1] C: Registered sub-client: [LDD_ECO_IMPORT] with ID: [30]
[2017.11.21 19:33:04] [0791m.27s.023ms] [1] C: Unregistered sub-client: [LDD_ECO_IMPORT] with ID: [30]
[2017.11.21 19:33:05] [0791m.28s.018ms] [1] C: Registered sub-client: [LDD_ECO_IMPORT] with ID: [31]
[2017.11.21 19:33:05] [0791m.28s.024ms] [1] C: Unregistered sub-client: [LDD_ECO_IMPORT] with ID: [31]
[2017.11.21 19:33:06] [0791m.29s.019ms] [1] C: Registered sub-client: [LDD_ECO_IMPORT] with ID: [32]
[2017.11.21 19:33:06] [0791m.29s.023ms] [1] C: Unregistered sub-client: [LDD_ECO_IMPORT] with ID: [32]
[2017.11.21 19:33:07] [0791m.30s.018ms] [1] C: Registered sub-client: [LDD_ECO_IMPORT] with ID: [33]
[2017.11.21 19:33:07] [0791m.30s.023ms] [1] C: Unregistered sub-client: [LDD_ECO_IMPORT] with ID: [33]
[2017.11.21 19:33:08] [0791m.31s.018ms] [1] C: Registered sub-client: [LDD_ECO_IMPORT] with ID: [34]
[2017.11.21 19:33:08] [0791m.31s.023ms] [1] C: Unregistered sub-client: [LDD_ECO_IMPORT] with ID: [34]
[2017.11.21 19:33:09] [0791m.32s.018ms] [1] C: Registered sub-client: [LDD_ECO_IMPORT] with ID: [35]
[2017.11.21 19:33:09] [0791m.32s.023ms] [1] C: Unregistered sub-client: [LDD_ECO_IMPORT] with ID: [35]
[2017.11.21 19:33:10] [0791m.33s.019ms] [1] C: Registered sub-client: [LDD_ECO_IMPORT] with ID: [36]
[2017.11.21 19:33:10] [0791m.33s.025ms] [1] C: Unregistered sub-client: [LDD_ECO_IMPORT] with ID: [36]
[2017.11.21 19:33:11] [0791m.34s.021ms] [1] C: Registered sub-client: [LDD_ECO_IMPORT] with ID: [37]
[2017.11.21 19:33:11] [0791m.34s.026ms] [1] C: Unregistered sub-client: [LDD_ECO_IMPORT] with ID: [37]
[2017.11.21 19:33:12] [0791m.35s.017ms] [1] C: Registered sub-client: [LDD_ECO_IMPORT] with ID: [38]
[2017.11.21 19:33:12] [0791m.35s.024ms] [1] C: Unregistered sub-client: [LDD_ECO_IMPORT] with ID: [38]
[2017.11.21 19:33:13] [0791m.36s.017ms] [1] C: Registered sub-client: [LDD_ECO_IMPORT] with ID: [39]
[2017.11.21 19:33:13] [0791m.36s.024ms] [1] C: Unregistered sub-client: [LDD_ECO_IMPORT] with ID: [39]
[2017.11.21 19:33:14] [0791m.37s.019ms] [1] C: Registered sub-client: [LDD_ECO_IMPORT] with ID: [40]
[2017.11.21 19:33:14] [0791m.37s.025ms] [1] C: Unregistered sub-client: [LDD_ECO_IMPORT] with ID: [40]
[2017.11.21 19:33:15] [0791m.38s.017ms] [1] C: Registered sub-client: [LDD_ECO_IMPORT] with ID: [41]
[2017.11.21 19:33:15] [0791m.38s.019ms] [1] C: Unregistered sub-client: [LDD_ECO_IMPORT] with ID: [41]
